Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Glenmark Pharmaceuticals","https://scanx.trade/company/glenmark-pharmaceuticals-ltd","2,123.30","-0.63%","2,112.50","3,16,016","59,919.70","56.64","4.41","2,284.80","1,275.50","6.18%","9.22%","61.67%","390.99%","353.75%","6.30","0.12%","3.84%","15.93%","-","2,016.70","1,913.62","64.93","75.73%","87.50%"
"Oracle Financial Services Software","https://scanx.trade/company/oracle-financial-services-software-ltd","6,848.00","-1.21%","6,755.00","1,06,501","59,589.17","24.68","25.51","9,950.00","6,399.50","-14.46%","-15.98%","-15.27%","116.75%","117.21%","8.18","3.82%","28.24%","36.86%","269.28","7,444.21","8,345.22","42.63","75.09%","86.95%"
"Prestige Estates Projects","https://scanx.trade/company/prestige-estate-ltd","1,377.30","-1.13%","1,332.00","8,63,734","59,324.47","56.73","20.30","1,814.00","1,048.05","-1.06%","-17.50%","21.40%","246.19%","354.03%","3.79","0.13%","10.40%","8.96%","33.42","1,523.40","1,606.50","29.67","72.15%","85.62%"
"Phoenix Mills","https://scanx.trade/company/phoenix-mills-ltd","1,648.60","-0.60%","1,600.00","4,25,763","58,952.50","41.89","20.30","1,993.00","1,402.50","-4.61%","-5.31%","9.05%","149.17%","297.90%","5.51","0.15%","13.29%","10.43%","61.08","1,784.05","1,649.17","34.80","73.22%","87.11%"
"Laurus Labs","https://scanx.trade/company/laurus-labs-ltd","1,065.00","-1.00%","1,030.00","22,61,544","57,494.73","69.03","4.41","1,141.00","517.65","6.48%","6.16%","96.13%","237.93%","192.82%","12.07","0.11%","4.09%","12.08%","2.75","1,038.00","894.09","58.58","75.20%","80.00%"
"Suzlon Energy","https://scanx.trade/company/suzlon-ltd","40.95","-4.03%","39.13","11,60,13,965","56,151.79","18.02","5.06","74.30","42.45","-10.57%","-25.45%","-21.45%","405.56%","655.54%","7.41","-","262.69%","24.15%","0.68","48.34","56.91","23.22","50.00%","84.73%"
"Tube Investment","https://scanx.trade/company/tube-invest-of-india-ltd","2,837.60","3.06%","2,567.40","20,01,875","54,910.07","51.11","24.63","3,419.90","2,164.90","29.61%","0.03%","11.55%","6.66%","172.48%","7.09","0.13%","17.60%","15.90%","34.13","2,480.36","2,872.80","71.19","74.32%","85.53%"
"Patanjali Foods","https://scanx.trade/company/ruchi-soya-industries-ltd","502.80","-1.02%","500.00","18,01,918","54,696.00","33.64","16.67","670.33","480.00","-0.06%","-11.70%","-16.78%","-44.46%","-31.46%","4.58","0.65%","1.75%","15.86%","25.98","529.80","569.32","35.54","75.00%","87.50%"
"Oberoi Realty","https://scanx.trade/company/oberoi-realty-ltd","1,490.70","-2.11%","1,490.00","4,42,316","54,202.19","24.81","20.30","2,005.00","1,425.50","1.57%","-10.29%","-1.13%","74.68%","168.86%","3.32","0.52%","13.92%","16.69%","60.22","1,584.68","1,682.01","39.85","75.70%","87.50%"
"UPL","https://scanx.trade/company/upl-united-phosphorus-ltd","622.85","-2.28%","622.25","24,04,381","52,526.11","26.82","20.01","812.20","588.85","-13.08%","-17.90%","-3.23%","-8.33%","9.94%","1.69","0.89%","-5.74%","7.50%","-","739.38","704.81","30.79","76.00%","86.49%"
"Godrej Properties","https://scanx.trade/company/godrej-properties-ltd","1,733.50","0.14%","1,665.70","24,08,197","52,214.12","33.10","20.30","2,506.50","1,475.00","14.20%","-17.31%","-10.61%","58.49%","12.57%","2.84","-","7.25%","8.74%","40.29","1,831.55","2,081.25","43.49","73.82%","85.02%"
"Supreme Industries","https://scanx.trade/company/supreme-industries-ltd","3,954.20","-0.53%","3,880.00","5,13,269","50,228.96","61.99","27.44","4,739.00","3,095.00","14.80%","15.72%","13.32%","44.28%","89.85%","8.82","0.86%","20.94%","21.37%","88.76","3,615.72","3,985.32","62.68","74.61%","87.29%"
"KEI Industries","https://scanx.trade/company/kei-industries-ltd","5,206.00","2.47%","4,920.50","15,82,606","49,769.67","56.43","19.17","5,110.00","2,424.00","36.81%","25.88%","73.59%","219.44%","953.63%","7.85","0.08%","18.44%","16.86%","67.58","4,421.77","4,056.92","80.91","70.00%","80.00%"
"Voltas","https://scanx.trade/company/voltas-ltd","1,499.10","-3.98%","1,521.00","14,19,196","49,602.93","105.10","110.80","1,582.50","1,190.00","12.66%","7.23%","14.20%","68.95%","43.62%","8.12","0.45%","4.24%","17.53%","13.81","1,434.07","1,370.26","52.60","76.00%","87.50%"
"PI Industries","https://scanx.trade/company/pi-industries-ltd","3,099.40","-0.57%","2,982.30","3,14,065","47,023.51","32.50","20.01","4,330.00","2,951.10","-1.83%","-9.70%","2.89%","2.20%","42.52%","4.36","0.52%","19.26%","20.62%","115.17","3,179.77","3,618.93","46.05","76.00%","87.50%"
"Bharat Dynamics","https://scanx.trade/company/bharat-dynamics-ltd","1,268.00","0.22%","1,241.40","34,71,100","46,480.13","79.98","-5.61","2,096.60","907.00","-13.71%","-15.72%","24.63%","169.43%","590.63%","11.00","0.37%","10.97%","10.19%","15.77","1,398.14","1,580.22","42.05","70.06%","82.66%"
"Petronet LNG","https://scanx.trade/company/petronet-lng-ltd","308.65","-4.56%","315.00","45,85,224","46,297.50","13.34","33.88","326.50","263.50","11.15%","12.67%","3.47%","38.19%","22.77%","2.30","3.09%","20.26%","23.63%","26.26","291.65","288.09","56.32","76.00%","80.00%"
"Astral","https://scanx.trade/company/astral-poly-technik-ltd","1,669.80","0.11%","1,590.50","8,13,157","44,859.20","89.63","27.44","1,693.90","1,232.30","19.23%","13.51%","20.29%","18.85%","35.12%","11.87","0.23%","16.69%","19.01%","20.35","1,498.45","1,463.81","69.70","76.00%","87.50%"
"360 One WAM","https://scanx.trade/company/360-one-wam-ltd","1,074.70","-2.62%","1,055.00","18,37,718","43,531.55","38.00","30.18","1,273.80","790.50","-3.50%","-7.88%","6.39%","141.54%","268.83%","4.78","0.53%","23.31%","14.83%","25.49","1,144.26","1,110.39","38.63","72.72%","85.99%"
"Mphasis","https://scanx.trade/company/mphasis-ltd","2,255.50","-1.79%","2,205.00","3,49,774","42,980.33","24.34","25.51","3,037.20","2,044.55","-19.62%","-19.20%","-5.09%","10.57%","37.59%","4.55","2.47%","17.68%","23.19%","82.67","2,680.32","2,745.62","25.09","76.00%","87.50%"
"Kalyan Jewellers","https://scanx.trade/company/kalyan-jewellers-ltd","401.75","-2.04%","394.95","48,03,685","41,487.22","37.51","68.91","617.70","347.50","8.90%","-18.66%","-14.38%","248.29%","434.24%","7.93","0.37%","14.24%","20.89%","6.12","435.80","502.29","43.73","70.00%","82.25%"
"Blue Star","https://scanx.trade/company/blue-star-ltd","1,902.50","-1.99%","1,862.80","2,68,981","39,118.21","80.77","110.80","2,269.80","1,521.00","14.09%","8.21%","-1.24%","166.33%","341.95%","12.83","0.46%","15.86%","25.16%","24.34","1,840.10","1,803.82","48.90","74.31%","87.25%"
"Coforge","https://scanx.trade/company/coforge-ltd","1,162.70","-1.95%","1,130.00","24,47,816","38,955.31","28.75","25.51","1,994.00","1,182.10","-30.14%","-39.13%","-22.37%","36.02%","132.15%","5.78","0.32%","22.42%","14.67%","114.98","1,575.50","1,723.26","15.49","75.26%","85.71%"
"Dalmia Bharat","https://scanx.trade/company/dalmia-bharat-ltd","1,959.50","-1.68%","1,911.70","3,88,419","36,753.39","31.08","-13.43","2,496.30","1,601.00","-7.00%","-2.96%","13.26%","6.61%","33.38%","2.11","0.46%","5.17%","4.86%","49.19","2,108.39","2,158.31","31.70","75.00%","80.00%"
"Container Corporation of India","https://scanx.trade/company/container-corporation-of-india-ltd","479.00","-3.36%","488.95","16,56,198","36,481.50","29.47","33.88","652.04","472.75","-1.31%","-6.82%","-9.63%","1.44%","6.44%","2.95","1.86%","10.36%","13.49%","20.90","509.82","547.43","30.65","76.00%","87.50%"
"HUDCO","https://scanx.trade/company/housing-urban-development-corporation-ltd","181.74","-2.68%","175.00","43,96,131","36,382.53","13.43","36.52","253.73","158.85","-8.27%","-24.14%","4.89%","321.18%","238.12%","2.07","2.22%","11.02%","8.50%","11.13","205.25","221.12","32.26","69.35%","83.52%"
"Page Industries","https://scanx.trade/company/page-industries-ltd","31,175.00","-2.91%","31,000.00","21,570","34,772.20","47.83","-29.49","50,590.00","31,740.00","-4.14%","-19.92%","-25.54%","-17.52%","10.95%","25.43","2.80%","35.64%","62.78%","516.64","34,166.70","41,304.48","28.05","78.00%","87.50%"
"Jubilant FoodWorks","https://scanx.trade/company/jubilant-foodworks-ltd","505.65","-2.74%","500.00","14,97,360","33,365.07","83.37","-1.11","727.95","481.10","3.55%","-16.65%","-24.63%","16.42%","-16.76%","15.81","0.23%","17.86%","12.94%","4.12","529.34","609.93","38.27","76.00%","87.50%"
"IREDA","https://scanx.trade/company/ireda-ltd","115.93","-5.17%","115.91","1,25,95,759","32,567.42","18.25","36.52","186.58","121.65","-10.05%","-19.36%","-30.38%","93.22%","93.22%","2.66","-","11.56%","8.35%","1.29","132.36","148.77","27.45","70.02%","84.87%"
"Premier Energies","https://scanx.trade/company/premier-energies-ltd","712.85","-2.48%","699.00","11,54,965","32,291.70","24.95","14.50","1,163.90","660.00","0.74%","-27.94%","-22.88%","-15.13%","-15.13%","9.61","0.07%","-","34.93%","-","772.33","964.24","37.93","60.00%","83.74%"
"Sona BLW Precision Forgings","https://scanx.trade/company/sona-blw-precision-forgings-ltd","517.25","-3.23%","502.00","15,57,182","32,158.52","54.82","130.27","559.50","380.00","6.04%","1.52%","2.82%","13.86%","43.20%","5.82","0.60%","18.49%","13.84%","9.41","497.35","479.68","49.06","75.15%","87.06%"
"Delhivery","https://scanx.trade/company/delhivery-ltd","427.90","-1.27%","410.05","17,60,668","32,011.02","212.35","33.88","490.00","236.53","6.88%","0.62%","67.12%","23.92%","-20.22%","3.40","-","-2.72%","2.66%","-","417.34","423.85","49.95","75.00%","70.00%"
