Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"D-Link","https://scanx.trade/company/dlink-india-ltd","422.50","2.99%","410.10","2,56,333","1,500.08","13.98","14.61","589.55","349.45","13.58%","-2.93%","10.78%","75.24%","274.56%","3.08","4.89%","21.29%","29.43%","26.84","408.71","468.90","56.33","50.00%","-"
"Shanti Gold International","https://scanx.trade/company/shanti-gold-international-ltd","207.98","-0.07%","210.90","1,14,887","1,499.45","11.76","68.36","274.10","184.10","8.17%","-4.34%","-9.33%","-9.33%","-9.33%","2.77","-","-","49.51%","-","203.68","-","48.14","-","70.00%"
"Jyoti Structures","https://scanx.trade/company/jyoti-structures-ltd","12.55","-3.24%","13.05","78,57,319","1,497.80","30.93","17.81","22.18","7.94","38.52%","11.56%","-27.67%","100.48%","190.51%","3.05","-","-113.09%","1.41%","0.36","10.13","14.42","63.94","57.58%","-"
"Stallion India Fluorochemicals","https://scanx.trade/company/stallion-india-fluorochemicals-ltd","127.81","4.79%","118.01","16,22,722","1,483.69","-","16.37","423.80","60.00","-35.25%","-31.73%","97.30%","1.44%","1.44%","-","-","-","16.13%","-","168.36","150.01","36.16","-","-"
"Magellanic Cloud","https://scanx.trade/company/magellanic-cloud-ltd","25.08","-0.87%","25.42","7,84,068","1,465.66","13.94","49.35","105.42","21.20","10.92%","-32.14%","-57.67%","-66.96%","-66.96%","2.45","0.12%","-","25.56%","-","24.98","58.90","45.24","36.00%","-"
"NIBE","https://scanx.trade/company/kavita-fabrics-ltd","1,009.90","-1.56%","1,025.00","25,357","1,464.48","-79.43","-5.98","2,001.00","761.50","-1.60%","-9.20%","-2.17%","-36.60%","-36.60%","6.40","0.12%","-","15.44%","-","1,095.36","1,327.50","43.78","0.00%","-"
"Digitide Solutions","https://scanx.trade/company/digitide-solutions-ltd","98.17","0.60%","97.58","2,51,819","1,462.24","159.92","49.35","279.69","94.39","-10.64%","-30.26%","-57.82%","-57.82%","-57.82%","1.72","-","-","20.43%","-","118.48","-","34.28","60.00%","-"
"Punjab Chemicals & Crop Protection","https://scanx.trade/company/punjab-chemicals-crop-protection-ltd","1,183.60","3.67%","1,141.70","13,611","1,451.35","23.21","20.23","1,666.00","681.00","18.45%","-10.94%","64.51%","31.34%","26.55%","3.48","0.26%","16.23%","15.68%","36.84","1,126.39","1,223.49","60.02","50.00%","-"
"Omaxe","https://scanx.trade/company/omaxe-ltd","79.04","0.30%","80.80","55,133","1,445.65","-2.19","19.99","113.40","62.50","5.36%","14.53%","0.19%","38.55%","12.91%","-2.57","-","-","-61.52%","-","77.32","84.61","54.35","50.00%","-"
"Sula Vineyards","https://scanx.trade/company/sula-vineyards-ltd","171.15","0.05%","171.47","2,01,020","1,445.31","48.03","29.35","335.90","170.10","-11.76%","-27.65%","-34.35%","-51.58%","-48.32%","2.55","2.10%","16.97%","16.92%","11.17","194.80","251.52","30.54","69.67%","65.00%"
"Sumeet Industries","https://scanx.trade/company/sumeet-ind-ltd","27.46","4.65%","26.95","2,44,315","1,445.29","14.53","53.12","181.70","10.66","1.59%","-11.05%","-50.93%","4,190.63%","830.85%","7.87","-","-","70.33%","-","27.26","24.46","57.66","-","-"
"Indosolar","https://scanx.trade/company/indosolar-ltd","347.05","-0.39%","347.85","67,844","1,443.86","5.99","4.69","725.00","165.07","-20.11%","-37.52%","100.24%","100.24%","100.24%","7.19","-","-","70.92%","-","438.96","-","29.55","-","-"
"PNB Gilts","https://scanx.trade/company/pnb-gilts-ltd","79.93","2.43%","78.01","14,29,890","1,438.82","5.78","30.80","119.80","74.25","3.67%","-7.05%","-3.00%","33.11%","49.26%","0.86","1.28%","-6.13%","6.78%","3.51","80.04","92.16","51.09","50.00%","60.00%"
"Laxmi Goldrona House","https://scanx.trade/company/laxmi-goldrona-house-ltd","286.95","0.46%","289.95","39,978","1,437.41","123.13","68.36","654.85","192.75","7.27%","3.87%","12.95%","1,181.03%","1,334.75%","22.01","-","-","16.63%","-","290.94","298.89","47.37","-","-"
"NGL Fine Chem","https://scanx.trade/company/ngl-fine-chem-ltd","2,301.20","-0.14%","2,304.40","1,374","1,421.69","40.49","28.67","2,575.00","980.00","50.75%","73.24%","110.06%","71.81%","23.13%","4.73","0.08%","-","9.56%","-","1,762.94","1,433.74","67.48","50.00%","-"
"NELCO","https://scanx.trade/company/nelco-ltd","622.20","-0.84%","627.45","51,497","1,419.76","-775.62","-11.29","1,161.00","580.15","4.14%","-27.21%","-19.15%","13.11%","200.14%","11.15","0.16%","19.15%","18.66%","9.86","673.21","830.84","40.50","50.00%","65.00%"
"JG Chemicals","https://scanx.trade/company/jg-chemicals-ltd","361.75","1.20%","355.05","50,240","1,417.56","21.41","16.37","558.00","280.45","17.05%","-11.23%","15.12%","95.75%","95.75%","2.85","0.28%","26.60%","19.08%","11.24","347.58","408.57","51.12","60.00%","-"
"Dynamic Cables","https://scanx.trade/company/dynamic-cables-ltd","292.50","2.11%","286.45","2,90,531","1,417.42","16.60","19.08","526.75","227.50","4.33%","-13.69%","-3.26%","249.96%","328.26%","3.39","0.09%","17.65%","26.48%","15.68","310.13","387.45","46.37","50.00%","-"
"Navkar Corporation","https://scanx.trade/company/navkar-corporation-ltd","94.14","-0.45%","95.14","1,10,795","1,416.99","-592.13","34.23","140.20","80.54","-3.34%","-7.89%","-4.84%","80.17%","138.93%","0.74","-","5.91%","7.11%","-","98.40","110.88","40.49","50.00%","-"
"Southern Petrochemical Industries","https://scanx.trade/company/southern-petrochemical-industries-corporation-ltd","69.51","-0.83%","70.05","2,02,639","1,415.50","7.10","75.63","128.20","68.50","-3.78%","-19.59%","-11.01%","8.95%","149.59%","1.10","2.85%","30.51%","21.00%","8.47","75.17","87.54","40.98","50.00%","70.00%"
"Suraksha Diagnostic","https://scanx.trade/company/suraksha-diagnosticltd","271.45","-0.88%","272.95","9,912","1,413.73","44.53","37.79","352.50","231.00","3.73%","-7.35%","-2.65%","-34.94%","-34.94%","6.26","-","-","17.12%","-","274.09","301.12","41.23","65.00%","-"
"SEPC","https://scanx.trade/company/shriram-epc-ltd","7.47","-2.73%","7.67","2,80,89,856","1,409.63","29.65","-11.88","16.49","7.63","-4.84%","-24.16%","-42.18%","-40.67%","83.09%","0.80","-","-0.45%","4.38%","0.15","9.02","11.32","33.68","50.00%","-"
"GTL Infrastructure","https://scanx.trade/company/gtl-infrastructure-ltd","1.10","1.85%","1.08","4,29,50,309","1,409.00","-2.12","17.81","2.17","0.98","7.84%","-18.52%","-29.03%","29.41%","22.22%","-0.22","-","21.15%","8.82%","-","1.14","1.43","44.76","-","-"
